id,age,gender,device_type,ad_position,browsing_history,time_of_day,click
670,22.0,Female,Desktop,Top,Shopping,Afternoon,1
3044,39.5,Male,Desktop,Top,Entertainment,Morning,1
5912,41.0,Non-Binary,Desktop,Side,Education,Night,1
5418,34.0,Male,Desktop,Bottom,Entertainment,Evening,1
9452,39.0,Non-Binary,Desktop,Bottom,Social Media,Morning,0
5942,39.5,Non-Binary,Desktop,Bottom,Social Media,Evening,1
7808,26.0,Female,Desktop,Top,Entertainment,Morning,1
5065,40.0,Male,Mobile,Side,Entertainment,Evening,0
7993,39.5,Non-Binary,Mobile,Bottom,Social Media,Morning,1
4509,39.5,Female,Desktop,Bottom,Education,Afternoon,1
2595,39.5,Female,Desktop,Bottom,Entertainment,Morning,1
7466,47.0,Female,Mobile,Bottom,Entertainment,Afternoon,1
8171,39.5,Non-Binary,Mobile,Side,Education,Afternoon,0
2023,19.0,Female,Desktop,Bottom,Entertainment,Morning,1
973,39.5,Female,Mobile,Bottom,Entertainment,Morning,1
7529,39.5,Female,Desktop,Top,Entertainment,Afternoon,0
8127,39.5,Male,Tablet,Bottom,Entertainment,Morning,1
188,56.0,Female,Tablet,Bottom,News,Morning,1
2124,39.5,Male,Desktop,Top,Entertainment,Evening,1
7335,24.0,Female,Tablet,Side,Entertainment,Night,0
5569,39.5,Female,Mobile,Bottom,Entertainment,Afternoon,1
2272,52.0,Female,Tablet,Bottom,News,Morning,1
2722,39.0,Female,Desktop,Top,Entertainment,Morning,1
316,42.0,Female,Desktop,Top,Entertainment,Night,1
9789,36.0,Female,Tablet,Bottom,Entertainment,Morning,1
4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1
4994,62.0,Female,Mobile,Bottom,Entertainment,Night,0
5055,45.0,Male,Desktop,Bottom,Education,Morning,1
6724,37.0,Female,Desktop,Top,Entertainment,Evening,1
8253,39.5,Non-Binary,Desktop,Bottom,Entertainment,Morning,1
4945,31.0,Female,Tablet,Top,Entertainment,Morning,1
1729,26.0,Female,Mobile,Top,Entertainment,Afternoon,1
6862,39.5,Male,Tablet,Side,Entertainment,Morning,1
4985,37.0,Male,Mobile,Top,News,Evening,0
7361,39.5,Female,Mobile,Top,Entertainment,Afternoon,0
1524,24.0,Female,Mobile,Bottom,Entertainment,Night,1
2542,58.0,Non-Binary,Mobile,Side,Entertainment,Evening,1
119,59.0,Female,Tablet,Top,Entertainment,Morning,1
5881,26.0,Non-Binary,Tablet,Top,Entertainment,Morning,1
9642,39.5,Non-Binary,Desktop,Bottom,Entertainment,Evening,1
1171,39.5,Female,Mobile,Bottom,Entertainment,Night,1
1612,40.0,Female,Mobile,Bottom,News,Morning,1
9586,39.5,Female,Desktop,Bottom,Shopping,Afternoon,0
7661,48.0,Female,Mobile,Side,News,Night,1
4228,39.5,Female,Desktop,Side,Entertainment,Morning,1
5574,52.0,Female,Desktop,Bottom,Entertainment,Afternoon,1
120,39.5,Female,Desktop,Side,Entertainment,Night,0
6143,39.5,Female,Desktop,Bottom,Entertainment,Afternoon,1
301,39.5,Male,Tablet,Side,Social Media,Morning,1
5301,39.5,Male,Desktop,Side,Social Media,Morning,1
5439,38.0,Female,Desktop,Bottom,Social Media,Afternoon,1
9806,58.0,Male,Tablet,Bottom,Entertainment,Morning,1
9888,49.0,Male,Mobile,Top,News,Morning,1
4525,39.5,Female,Mobile,Top,Entertainment,Morning,0
6153,30.0,Female,Desktop,Side,Entertainment,Night,1
7498,39.5,Male,Desktop,Side,Shopping,Afternoon,1
9736,46.0,Female,Desktop,Bottom,Education,Evening,1
